run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_cost[photometric],interaction_matrix_type[current|desired|mean],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-11T14:09:57,data/playroom/images/DSC05697.jpg,"[1.492419719696045, 2.205141067504883, -0.6228408217430115, 1.812848687171936, 0.35005587339401245, -1.5451360940933228]","[1.3797047138214111, 2.3697540760040283, -0.6060546040534973, 1.7681516408920288, 0.3568693995475769, -1.454781413078308]",Success,23,"[1.5345138311386108, 0.9001173973083496, 0.25751933455467224, 1.915708303451538, 0.35326799750328064, -1.627252221107483]",582818790.8096011,current,"[-0.04209411144256592, 1.3050236701965332, -0.8803601562976837]","[-0.10285961627960205, -0.0032121241092681885, 0.08211612701416016]",1.5747675062649251,0.15214175522451345
2026-03-11T14:10:40,data/playroom/images/DSC05722.jpg,"[0.16968943178653717, 0.29901254177093506, 2.4504034519195557, 1.353190302848816, -0.46284180879592896, -0.27879610657691956]","[0.17675182223320007, 0.3267226219177246, 2.6226069927215576, 1.2537128925323486, -0.4177880883216858, -0.30081793665885925]",Failed,200,"[-0.1387099325656891, 0.30051660537719727, 2.3479413986206055, 1.271735668182373, -0.31686922907829285, -0.2354813814163208]",811526108.1264246,current,"[0.30839936435222626, -0.001504063606262207, 0.1024620532989502]","[0.08145463466644287, -0.1459725797176361, -0.043314725160598755]",0.3249783108246238,0.1646779370881191
2026-03-11T14:11:27,data/playroom/images/DSC05726.jpg,"[3.190886974334717, 0.0325845442712307, 3.8765552043914795, 2.1117606163024902, 0.42106327414512634, -1.6236045360565186]","[3.4526543617248535, 0.03342612087726593, 3.6749935150146484, 1.968615174293518, 0.396661639213562, -1.4686402082443237]",Failed,200,"[1.396512508392334, 0.04488762840628624, 4.417840003967285, 2.273452043533325, 0.43911588191986084, -1.5117319822311401]",832404350.715276,current,"[1.7943744659423828, -0.012303084135055542, -0.5412847995758057]","[-0.16169142723083496, -0.018052607774734497, -0.11187255382537842]",1.8742786143359438,0.15452294456234966
2026-03-11T14:11:54,data/playroom/images/DSC05790.jpg,"[-0.9533851146697998, -2.1521153450012207, -0.5709627270698547, 2.1016085147857666, -0.048434626311063766, 3.0836899280548096]","[-0.9445361495018005, -1.9713258743286133, -0.549144983291626, 2.2274105548858643, -0.04909829795360565, 2.8547260761260986]",Success,118,"[-0.9940730929374695, -2.887138605117798, -0.9425353407859802, 2.0545902252197266, 0.034481972455978394, 3.014131784439087]",300162439.72142446,current,"[0.04068797826766968, 0.7350232601165771, 0.3715726137161255]","[0.04701828956604004, -0.08291659876704216, 0.06955814361572266]",0.8246095510917545,0.11817331219049759
2026-03-11T14:12:03,data/playroom/images/DSC05628.jpg,"[2.355485439300537, 0.029674777761101723, 1.075508952140808, 0.37524446845054626, -1.158159613609314, -1.4368520975112915]","[2.5677762031555176, 0.03255144879221916, 1.0768214464187622, 0.3918220102787018, -1.1857035160064697, -1.4912339448928833]",Success,35,"[2.402513027191162, 0.2975457012653351, 1.069909930229187, 0.4361096918582916, -1.1540807485580444, -1.4767391681671143]",326646039.7163195,current,"[-0.047027587890625, -0.26787092350423336, 0.005599021911621094]","[-0.06086522340774536, -0.004078865051269531, 0.039887070655822754]",0.272025320013024,0.029464323513744943
2026-03-11T14:12:09,data/playroom/images/DSC05757.jpg,"[3.1148624420166016, -0.7350034117698669, -4.3299641609191895, -0.3571987450122833, -0.05338659882545471, -0.043030112981796265]","[3.374964952468872, -0.6619216203689575, -4.004094123840332, -0.3474249243736267, -0.049385737627744675, -0.04657111316919327]",Success,18,"[3.0022690296173096, -0.8452185988426208, -4.217169761657715, -0.37097328901290894, -0.027370315045118332, -0.04508756846189499]",468832026.40295196,current,"[0.11259341239929199, 0.1102151870727539, -0.11279439926147461]","[0.01377454400062561, -0.02601628378033638, 0.0020574554800987244]",0.19377110332027353,0.029548186651151963
2026-03-11T14:13:01,data/playroom/images/DSC05614.jpg,"[1.7666112184524536, -0.15202711522579193, 2.022629499435425, 1.8589016199111938, -0.060751669108867645, 3.129782199859619]","[1.609703779220581, -0.1419975310564041, 1.8512258529663086, 1.6916755437850952, -0.06658284366130829, 3.0333075523376465]",Failed,200,"[2.174234390258789, -0.04973132163286209, 1.6746641397476196, 1.7700650691986084, 0.030835311859846115, -3.0398056507110596]",369447472.699087,current,"[-0.40762317180633545, -0.10229579359292984, 0.3479653596878052]","[0.08883655071258545, -0.09158698096871376, 6.169587850570679]",0.5456198045552674,0.1698807405712909
2026-03-11T14:13:05,data/playroom/images/DSC05798.jpg,"[2.3960964679718018, -1.3782674074172974, 0.6992905139923096, 0.7013957500457764, 0.35212355852127075, -1.5853017568588257]","[2.399998664855957, -1.4597980976104736, 0.6512159705162048, 0.723383367061615, 0.3850916624069214, -1.5987991094589233]",Success,15,"[2.592644453048706, -1.2394382953643799, 0.8040747046470642, 0.752100944519043, 0.4004998803138733, -1.570421576499939]",580485911.2322667,current,"[-0.1965479850769043, -0.13882911205291748, -0.10478419065475464]","[-0.0507051944732666, -0.04837632179260254, -0.014880180358886719]",0.2624583003114294,0.06765734921838773
2026-03-11T14:13:55,data/playroom/images/DSC05593.jpg,"[-3.037055253982544, -0.22201532125473022, -1.0582994222640991, 1.4700422286987305, 1.130255103111267, 1.5682352781295776]","[-3.0134615898132324, -0.22777314484119415, -1.085674524307251, 1.3877851963043213, 1.1904505491256714, 1.6388837099075317]",Failed,200,"[-3.4908623695373535, 0.6278137564659119, -1.8875994682312012, 1.1680210828781128, 1.2013343572616577, 1.2141691446304321]",537110074.2847584,current,"[0.45380711555480957, -0.8498290777206421, 0.829300045967102]","[0.3020211458206177, -0.07107925415039062, 0.3540661334991455]",1.2711761977431497,0.15742841708675895
2026-03-11T14:13:55,data/playroom/images/DSC05629.jpg,"[1.760515570640564, -0.721840500831604, -2.3350932598114014, 1.6556628942489624, -1.1521623134613037, -1.4281870126724243]","[1.6372586488723755, -0.7786927819252014, -2.4966351985931396, 1.5935735702514648, -1.2178864479064941, -1.5198068618774414]",Success,0,"[1.6372586488723755, -0.7786927819252014, -2.4966351985931396, 1.5935735702514648, -1.2178864479064941, -1.5198068618774414]",534532988.9196723,current,"[0.12325692176818848, 0.05685228109359741, 0.16154193878173828]","[0.06208932399749756, 0.06572413444519043, 0.09161984920501709]",0.2109982194585481,0.16464247486246983
