run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-05T10:39:55,data/playroom/images/DSC05743.jpg,"[0.5592919588088989, 1.857884168624878, 0.724960446357727, -1.4934940338134766, 0.4230164885520935, -1.3456965684890747]","[0.5377235412597656, 1.698644995689392, 0.6862767934799194, -1.7508212327957153, 0.4634420573711395, -1.170689582824707]",Success,3,"[0.56349116563797, 1.8490508794784546, 0.7313653826713562, -1.4954991340637207, 0.4222821593284607, -1.3440264463424683]",0.03260073810815811,"[-0.004199206829071045, 0.00883328914642334, -0.00640493631362915]","[0.0020051002502441406, 0.0007343292236328125, -0.0016701221466064453]",0.011691173778508411,0.0031774441372764044
2026-03-05T10:39:56,data/playroom/images/DSC05801.jpg,"[2.2545464038848877, -0.755365252494812, -0.8659251928329468, 2.480745792388916, 0.4583202302455902, -1.6376402378082275]","[1.9712891578674316, -0.9088305234909058, -0.7447511553764343, 2.354091167449951, 0.379885196685791, -2.107553005218506]",Success,4,"[2.2577924728393555, -0.7424692511558533, -0.8676964044570923, 2.4798245429992676, 0.45635583996772766, -1.637532353401184]",0.03473701700568199,"[-0.0032460689544677734, -0.01289600133895874, 0.0017712116241455078]","[0.0009212493896484375, 0.001964390277862549, -0.00010788440704345703]",0.013415699937353,0.002192473616571431
2026-03-05T10:39:57,data/playroom/images/DSC05609.jpg,"[-0.7944771647453308, -0.8599814176559448, 1.9523444175720215, 2.267920732498169, -0.09055955708026886, -3.140667676925659]","[-0.5645808577537537, -1.0061452388763428, 2.1437697410583496, 1.8624887466430664, -0.11009345948696136, -3.3822715282440186]",Success,3,"[-0.8090246915817261, -0.853691041469574, 1.9472968578338623, 2.267956495285034, -0.08975602686405182, 3.140989303588867]",0.031550563871860504,"[0.014547526836395264, -0.00629037618637085, 0.00504755973815918]","[-3.5762786865234375e-05, -0.000803530216217041, -6.281656980514526]",0.016633617433739045,0.0017242041210190375
2026-03-05T10:39:57,data/playroom/images/DSC05608.jpg,"[-0.7886683344841003, -1.5553858280181885, 1.7462306022644043, 2.688204288482666, -0.0986480787396431, 3.135786771774292]","[-0.8980077505111694, -1.3025712966918945, 2.139626979827881, 2.886334180831909, -0.08066864311695099, 3.129757881164551]",Success,2,"[-0.7701926827430725, -1.553318977355957, 1.7462345361709595, 2.6885924339294434, -0.10077601671218872, 3.1371021270751953]",0.0317881777882576,"[-0.018475651741027832, -0.0020668506622314453, -3.933906555175781e-06]","[-0.00038814544677734375, 0.0021279379725456238, -0.0013153553009033203]",0.018590900849376077,0.0025515843966520085
2026-03-05T10:39:58,data/playroom/images/DSC05691.jpg,"[-2.349872589111328, 2.344310998916626, -1.3249989748001099, 0.11626428365707397, 0.8729490637779236, -1.4688800573349]","[-1.8293297290802002, 2.945147752761841, -1.7189960479736328, 0.15025651454925537, 1.0694788694381714, -1.284989356994629]",Success,3,"[-2.3176679611206055, 2.3322267532348633, -1.3200472593307495, 0.12225539982318878, 0.871738612651825, -1.4665544033050537]",0.030004549771547318,"[-0.032204627990722656, 0.012084245681762695, -0.0049517154693603516]","[-0.005991116166114807, 0.0012104511260986328, -0.0023256540298461914]",0.0347517847571537,0.004628830037736757
2026-03-05T10:39:58,data/playroom/images/DSC05682.jpg,"[0.517747163772583, -0.678936779499054, -0.4027266502380371, 0.2838176190853119, 0.006674499716609716, 0.0008724380750209093]","[0.5726032257080078, -0.8393217921257019, -0.44624635577201843, 0.28082960844039917, 0.007532904855906963, 0.0008346294634975493]",Success,1,"[0.521255373954773, -0.7088186740875244, -0.40461140871047974, 0.2776566445827484, 0.006096291821449995, 0.0003588798572309315]",0.029650192707777023,"[-0.0035082101821899414, 0.02988189458847046, 0.001884758472442627]","[0.0061609745025634766, 0.0005782078951597214, 0.0005135582177899778]",0.030146102192129674,0.006206066756082785
2026-03-05T10:40:00,data/playroom/images/DSC05687.jpg,"[-3.2719786167144775, -0.15076404809951782, -0.3183102011680603, -1.3463529348373413, -1.3255722522735596, 0.46599912643432617]","[-2.915696859359741, -0.18539564311504364, -0.23550061881542206, -1.2581080198287964, -1.098611831665039, 0.4186413288116455]",Success,11,"[-3.2716243267059326, -0.14904296398162842, -0.31341588497161865, -1.350903868675232, -1.325546145439148, 0.4709148108959198]",0.03427518531680107,"[-0.0003542900085449219, -0.0017210841178894043, -0.00489431619644165]","[0.004550933837890625, -2.6106834411621094e-05, -0.004915684461593628]",0.005200190667827188,0.0012134289686492345
2026-03-05T10:40:01,data/playroom/images/DSC05699.jpg,"[1.6821386814117432, 1.984479546546936, -0.6402349472045898, 1.1605075597763062, 0.4471431076526642, -1.3938945531845093]","[1.4966943264007568, 2.3600025177001953, -0.717348575592041, 0.8389366269111633, 0.5740342736244202, -1.403290033340454]",Success,3,"[1.6779189109802246, 1.9899394512176514, -0.6288091540336609, 1.161617636680603, 0.44714587926864624, -1.3929030895233154]",0.034932706505060196,"[0.004219770431518555, -0.005459904670715332, -0.011425793170928955]","[-0.001110076904296875, -2.771615982055664e-06, -0.0009914636611938477]",0.013347875152729895,0.0011240530656603754
2026-03-05T10:40:02,data/playroom/images/DSC05766.jpg,"[-3.1256916522979736, -3.4365999698638916, 1.7902417182922363, 2.089927911758423, 0.7292362451553345, 2.652777671813965]","[-2.4449005126953125, -3.6051807403564453, 1.4688204526901245, 2.546647310256958, 0.8828485608100891, 1.886210560798645]",Failed,20,"[2.42171049118042, -2.8558409214019775, -13.526628494262695, 0.08607832342386246, 0.2906096875667572, 1.4218072891235352]",1.048348069190979,"[-5.5474021434783936, -0.5807590484619141, 15.316870212554932]","[2.0038495883345604, 0.43862655758857727, 1.2309703826904297]",16.30084245436694,1.6819818906728554
2026-03-05T10:40:05,data/playroom/images/DSC05719.jpg,"[-0.059192851185798645, 0.19004568457603455, 2.8335678577423096, -2.8994405269622803, 0.07962512224912643, 3.12522029876709]","[-0.06435272842645645, 0.2317110151052475, 3.401393175125122, -2.303591012954712, 0.058793917298316956, 2.7789294719696045]",Failed,20,"[3.0032191276550293, 2.7620372772216797, 4.942487716674805, -3.031043767929077, -0.6287097334861755, 3.1233458518981934]",1.0450363159179688,"[-3.062411978840828, -2.571991592645645, -2.108919858932495]","[0.13160324096679688, 0.708334855735302, 0.0018744468688964844]",4.521178038098869,0.7200466284393281
2026-03-05T10:40:05,data/playroom/images/DSC05622.jpg,"[3.449638605117798, -1.902445912361145, 3.1916186809539795, 1.3656941652297974, -1.207519292831421, -1.5038245916366577]","[3.059450387954712, -1.6210614442825317, 3.3165035247802734, 1.7495856285095215, -1.0818973779678345, -1.1654771566390991]",Failed,2,"[23.492116928100586, 7.2541584968566895, 13.959284782409668, -0.9967992901802063, -0.5542863011360168, 1.6659823656082153]",1.0252820253372192,"[-20.042478322982788, -9.156604409217834, -10.767666101455688]","[2.3624934554100037, -0.653232991695404, -3.169806957244873]",24.525231393537968,1.5671861603698758
