run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-05T10:42:30,data/playroom/images/DSC05711.jpg,"[0.05133509635925293, 0.9658869504928589, 2.5654540061950684, -2.4165613651275635, 0.4981957972049713, -1.5373976230621338]","[0.04749445244669914, 1.1204191446304321, 2.184130907058716, -2.882291793823242, 0.5328195095062256, -1.3536683320999146]",Failed,2,"[-7.395230770111084, 3.413086414337158, 16.263023376464844, 2.669534206390381, -0.3953230679035187, -1.3139780759811401]",1.2502617835998535,"[7.446565866470337, -2.4471994638442993, -13.697569370269775]","[-5.086095571517944, 0.89351886510849, -0.22341954708099365]",15.781746895476232,1.483766823178928
2026-03-05T10:42:31,data/playroom/images/DSC05749.jpg,"[0.04077766835689545, 1.327586054801941, 0.30256906151771545, 2.0988352298736572, 1.0816899538040161, 1.4634989500045776]","[0.04494933411478996, 1.1580400466918945, 0.37275105714797974, 1.4713482856750488, 0.8193033337593079, 1.1793875694274902]",Success,4,"[-0.004165990743786097, 1.2717454433441162, 0.3117249608039856, 2.0904626846313477, 1.074220895767212, 1.470697283744812]",0.03429826349020004,"[0.04494365910068154, 0.05584061145782471, -0.009155899286270142]","[0.00837254524230957, 0.007469058036804199, -0.007198333740234375]",0.0722629702758082,0.016849151638314564
2026-03-05T10:42:31,data/playroom/images/DSC05759.jpg,"[0.310179203748703, -0.8616442680358887, -3.7049484252929688, -0.3203745484352112, -0.017888883128762245, -0.012233045883476734]","[0.3492400050163269, -0.6123102903366089, -4.473774433135986, -0.3198279142379761, -0.018310546875, -0.012594089843332767]",Success,3,"[0.3594338893890381, -0.7923856377601624, -3.7520546913146973, -0.3130228519439697, -0.022863058373332024, -0.010861948132514954]",0.029626818373799324,"[-0.04925468564033508, -0.06925863027572632, 0.047106266021728516]","[-0.007351696491241455, 0.0049741752445697784, -0.0013710977509617805]",0.097168833602693,0.009004465181182515
2026-03-05T10:42:32,data/playroom/images/DSC05690.jpg,"[-2.5569825172424316, 2.3488752841949463, -1.4284491539001465, 0.885709285736084, 0.7986251711845398, -1.1166318655014038]","[-2.5440804958343506, 3.037351608276367, -1.5058796405792236, 0.9022579193115234, 0.8813926577568054, -1.3499585390090942]",Success,4,"[-2.504878520965576, 2.3261561393737793, -1.3614000082015991, 0.9112978577613831, 0.793501079082489, -1.1102269887924194]",0.023880863562226295,"[-0.05210399627685547, 0.022719144821166992, -0.06704914569854736]","[-0.025588572025299072, 0.005124092102050781, -0.006404876708984375]",0.08790093235187417,0.02208652176968654
2026-03-05T10:42:33,data/playroom/images/DSC05698.jpg,"[1.5589505434036255, 2.0869593620300293, -0.5351084470748901, 1.4997903108596802, 0.32914817333221436, -1.4962663650512695]","[1.9431782960891724, 2.4800705909729004, -0.5358699560165405, 1.2999072074890137, 0.2785817086696625, -1.485600233078003]",Failed,20,"[1.5252149105072021, 2.2192270755767822, -0.6063416004180908, 1.4885121583938599, 0.33501479029655457, -1.4815233945846558]",0.03830995038151741,"[0.03373563289642334, -0.13226771354675293, 0.07123315334320068]","[0.011278152465820312, -0.00586661696434021, -0.01474297046661377]",0.15397078654414958,0.022076691967849768
2026-03-05T10:42:34,data/playroom/images/DSC05640.jpg,"[-3.465308427810669, 1.1047862768173218, -3.3232994079589844, 0.6919406652450562, -0.1722429394721985, -1.9398359060287476]","[-3.098550319671631, 1.1856642961502075, -3.1724510192871094, 0.5219786167144775, -0.1440291404724121, -1.9749703407287598]",Failed,20,"[-3.4319229125976562, 1.0813261270523071, -3.3833889961242676, 0.6928552985191345, -0.1720430850982666, -1.931066870689392]",0.06894645094871521,"[-0.033385515213012695, 0.02346014976501465, 0.0600895881652832]","[-0.0009146332740783691, -0.00019985437393188477, -0.008769035339355469]",0.07263421961381951,0.008973303897286487
2026-03-05T10:42:34,data/playroom/images/DSC05785.jpg,"[-0.23782213032245636, -2.3860039710998535, -0.4909844994544983, 1.1116942167282104, -1.1647329330444336, -1.6671702861785889]","[-0.30674558877944946, -1.7408095598220825, -0.5473762154579163, 0.8994025588035583, -1.3778200149536133, -1.2150790691375732]",Success,6,"[-0.20094704627990723, -2.3278872966766357, -0.4841573238372803, 1.1196966171264648, -1.1599019765853882, -1.6642210483551025]",0.034649647772312164,"[-0.03687508404254913, -0.05811667442321777, -0.006827175617218018]","[-0.008002400398254395, -0.00483095645904541, -0.002949237823486328]",0.06916595980731918,0.011806478035729543
2026-03-05T10:42:35,data/playroom/images/DSC05759.jpg,"[0.310179203748703, -0.8616442680358887, -3.7049484252929688, -0.3203745484352112, -0.017888883128762245, -0.012233045883476734]","[0.38726842403411865, -0.8201921582221985, -4.4195876121521, -0.24755744636058807, -0.015051188878715038, -0.01499937754124403]",Success,4,"[0.3389340341091156, -0.843206524848938, -3.7353105545043945, -0.31772494316101074, -0.02117602527141571, -0.011775828897953033]",0.02617042511701584,"[-0.028754830360412598, -0.018437743186950684, 0.03036212921142578]","[-0.0026496052742004395, 0.0032871421426534653, -0.0004572169855237007]",0.045701745405786934,0.004252302234920075
2026-03-05T10:42:36,data/playroom/images/DSC05716.jpg,"[-0.11005605012178421, 0.5611809492111206, 2.7498207092285156, 1.9190738201141357, -1.1382802724838257, -1.7664998769760132]","[-0.125002920627594, 0.5063608884811401, 3.3012468814849854, 1.9552658796310425, -0.880731463432312, -2.1261305809020996]",Success,4,"[-0.13590751588344574, 0.48743757605552673, 2.817237615585327, 1.9436925649642944, -1.1383000612258911, -1.805796504020691]",0.022197438403964043,"[0.02585146576166153, 0.07374337315559387, -0.06741690635681152]","[-0.02461874485015869, 1.9788742065429688e-05, 0.039296627044677734]",0.10320572963316821,0.019839180181397763
2026-03-05T10:42:36,data/playroom/images/DSC05605.jpg,"[-3.0528104305267334, -0.8289990425109863, 2.8659439086914062, 2.5021274089813232, -0.10814700275659561, 3.129347085952759]","[-2.551107406616211, -0.9100968837738037, 2.9809863567352295, 2.082698345184326, -0.12460693717002869, 2.484020233154297]",Success,5,"[-3.0203607082366943, -0.8633741140365601, 2.8509654998779297, 2.4936869144439697, -0.11589919030666351, 3.130889654159546]",0.017398839816451073,"[-0.03244972229003906, 0.03437507152557373, 0.014978408813476562]","[0.008440494537353516, 0.007752187550067902, -0.0015425682067871094]",0.04958813113712393,0.011437066663578003
