run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed|Unknown],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-02-19T13:47:48,data/apt1/kitchen/data/frame-000765.color.jpg,"[-2.0819900035858154, -1.0305500030517578, 1.8392399549484253, -2.0102367401123047, -0.14172805845737457, 1.6730754375457764]","[-2.1299262046813965, -0.9884065985679626, 1.836442232131958, -1.9266198873519897, -0.13827358186244965, 1.719733476638794]",Success,5,"[-2.0942227840423584, -1.0137875080108643, 1.8381917476654053, -2.0076496601104736, -0.14112459123134613, 1.6833076477050781]",0.03951198235154152,"[0.012232780456542969, -0.016762495040893555, 0.0010482072830200195]","[-0.0025870800018310547, -0.0006034672260284424, -0.010232210159301758]",0.020777894412142364,0.010918691843977887
2026-02-19T13:47:48,data/apt1/kitchen/data/frame-001067.color.jpg,"[-1.290619969367981, -2.8124001026153564, 1.4649300575256348, -2.2860257625579834, -0.11232270300388336, -3.1098804473876953]","[-1.2947309017181396, -2.823124647140503, 1.463023066520691, -2.1934878826141357, -0.11438432335853577, -2.98427152633667]",Success,6,"[-1.2918903827667236, -2.8191442489624023, 1.472928762435913, -2.3001742362976074, -0.11669505387544632, -3.1025164127349854]",0.03969830274581909,"[0.0012704133987426758, 0.0067441463470458984, -0.00799870491027832]","[0.014148473739624023, 0.004372350871562958, -0.007364034652709961]",0.010539295061615267,0.015802380723785158
2026-02-19T13:47:54,data/apt1/kitchen/data/frame-000938.color.jpg,"[-2.2121999263763428, -2.7960400581359863, 1.4367300271987915, -2.369691848754883, -0.12986363470554352, 2.8327524662017822]","[-2.2926137447357178, -2.7658944129943848, 1.4349007606506348, -2.2943875789642334, -0.12745055556297302, 2.831590414047241]",Success,4,"[-2.2588443756103516, -2.775271415710449, 1.4447252750396729, -2.371894359588623, -0.09570053964853287, 2.860264778137207]",0.03758883848786354,"[0.04664444923400879, -0.02076864242553711, -0.007995247840881348]","[0.0022025108337402344, -0.03416309505701065, -0.027512311935424805]",0.051681380985621514,0.04376278101056216
2026-02-19T13:47:54,data/apt1/kitchen/data/frame-000454.color.jpg,"[-2.141319990158081, -1.8166199922561646, 1.463539958000183, -2.2883365154266357, -0.11023557931184769, 1.1976640224456787]","[-2.142302989959717, -1.859306812286377, 1.4192684888839722, -2.194226026535034, -0.10996615141630173, 1.1656218767166138]",Success,4,"[-2.1354076862335205, -1.8272693157196045, 1.442240834236145, -2.2671995162963867, -0.11176358163356781, 1.1936227083206177]",0.04509596526622772,"[-0.005912303924560547, 0.010649323463439941, 0.021299123764038086]","[-0.021136999130249023, 0.0015280023217201233, 0.004041314125061035]",0.024536016405300155,0.02113089021469785
2026-02-19T13:48:00,data/apt1/kitchen/data/frame-000603.color.jpg,"[-2.087939977645874, -3.1213300228118896, 1.4083399772644043, -2.622715711593628, -0.1666618436574936, 2.645110607147217]","[-2.091599941253662, -3.0207035541534424, 1.4617081880569458, -2.583172559738159, -0.17431022226810455, 2.6553831100463867]",Success,3,"[-2.1048078536987305, -3.0803205966949463, 1.428707480430603, -2.623795509338379, -0.12778370082378387, 2.648703098297119]",0.04319623112678528,"[0.016867876052856445, -0.04100942611694336, -0.02036750316619873]","[0.0010797977447509766, -0.03887814283370972, -0.0035924911499023438]",0.04879685910179752,0.03904410352061982
2026-02-19T13:48:00,data/apt1/kitchen/data/frame-000338.color.jpg,"[-1.4066599607467651, -2.7154600620269775, 1.3211499452590942, -2.4202308654785156, -0.05390111356973648, -2.736150026321411]","[-1.451614260673523, -2.5926737785339355, 1.367375373840332, -2.3066718578338623, -0.052258387207984924, -2.720987319946289]",Success,4,"[-1.4284193515777588, -2.638155460357666, 1.334882378578186, -2.386435031890869, -0.05946136638522148, -2.7451837062835693]",0.04207639768719673,"[0.021759390830993652, -0.07730460166931152, -0.013732433319091797]","[-0.033795833587646484, 0.005560252815485001, 0.009033679962158203]",0.08147424288356508,0.03492964489393016
2026-02-19T13:48:05,data/apt1/kitchen/data/frame-000417.color.jpg,"[-2.066999912261963, -1.3558499813079834, 1.6836400032043457, -2.123087167739868, -0.13930542767047882, 1.4742406606674194]","[-2.1255595684051514, -1.3066686391830444, 1.6215893030166626, -2.1672208309173584, -0.1333361566066742, 1.4524998664855957]",Failed,0,"[NaN, NaN, NaN, NaN, NaN, NaN]",nan,"[NaN, NaN, NaN]","[NaN, NaN, NaN]",nan,nan
2026-02-19T13:48:06,data/apt1/kitchen/data/frame-001077.color.jpg,"[-1.1971399784088135, -2.7583799362182617, 1.4034899473190308, -2.433457851409912, -0.1120217964053154, -2.845324754714966]","[-1.1515870094299316, -2.763653516769409, 1.4686931371688843, -2.3134565353393555, -0.11561380326747894, -2.7386486530303955]",Success,6,"[-1.1610634326934814, -2.765970468521118, 1.4478737115859985, -2.461549997329712, -0.11620522290468216, -2.8658320903778076]",0.04727273806929588,"[-0.03607654571533203, 0.007590532302856445, -0.04438376426696777]","[0.028092145919799805, 0.00418342649936676, 0.020507335662841797]",0.05769793637468254,0.03685630012894688
2026-02-19T13:48:11,data/apt1/kitchen/data/frame-000201.color.jpg,"[-2.2189199924468994, -2.5191800594329834, 1.4129300117492676, -2.293978691101074, -0.14364570379257202, 1.6605985164642334]","[-2.3051979541778564, -2.636542797088623, 1.419610619544983, -2.2395472526550293, -0.14248965680599213, 1.5776407718658447]",Success,5,"[-2.2253804206848145, -2.545599937438965, 1.417199730873108, -2.2909274101257324, -0.1482660174369812, 1.6479718685150146]",0.036591991782188416,"[0.006460428237915039, 0.026419878005981445, -0.004269719123840332]","[-0.003051280975341797, 0.00462031364440918, 0.01262664794921875]",0.027531392777421924,0.013374703560468944
2026-02-19T13:48:12,data/apt1/kitchen/data/frame-000836.color.jpg,"[-2.1560800075531006, -2.092629909515381, 1.484570026397705, -2.258357524871826, -0.24620382487773895, 1.5561052560806274]","[-2.2409825325012207, -2.0890982151031494, 1.532250165939331, -2.194044589996338, -0.2568632960319519, 1.5626423358917236]",Success,5,"[-2.16967511177063, -2.0808961391448975, 1.4898513555526733, -2.2515668869018555, -0.23776550590991974, 1.5598278045654297]",0.03948976472020149,"[0.013595104217529297, -0.011733770370483398, -0.005281329154968262]","[-0.006790637969970703, -0.008438318967819214, -0.003722548484802246]",0.018718992051812905,0.011970377976986798
