run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-12T13:01:30,data/apt1/living/data/frame-000837.color.jpg,"[-0.5672860145568848, 1.575950026512146, 1.3466999530792236, -2.2601325511932373, -0.029474904760718346, 0.46189484000205994]","[-0.5800583958625793, 1.5516468286514282, 1.4796923398971558, -2.4779295921325684, -0.027546430006623268, 0.42307281494140625]",Failed,100,"[-0.6020885705947876, 2.1245534420013428, 1.6869168281555176, -2.615809917449951, 0.15243686735630035, 0.5017513632774353]",0.9313051700592041,"[0.03480255603790283, -0.5486034154891968, -0.34021687507629395]","[0.35567736625671387, -0.1819117721170187, -0.039856523275375366]",0.6464707630510929,0.40318774868429896
2026-03-12T13:02:26,data/apt1/living/data/frame-000431.color.jpg,"[-1.6446199417114258, 1.3636000156402588, 1.4802500009536743, -2.139371633529663, -0.1550397425889969, 1.242822527885437]","[-1.5219677686691284, 1.2468407154083252, 1.34088933467865, -2.096637487411499, -0.14429420232772827, 1.2002134323120117]",Failed,100,"[-4.236511707305908, 1.451951026916504, 1.2246593236923218, -0.5705969333648682, -0.9733960032463074, -2.961697578430176]",0.5661329030990601,"[2.5918917655944824, -0.08835101127624512, 0.25559067726135254]","[-1.568774700164795, 0.8183562606573105, 4.204520106315613]",2.605961515458917,3.1346623315702864
2026-03-12T13:03:22,data/apt1/living/data/frame-000691.color.jpg,"[-0.015418400056660175, 1.8503700494766235, 1.4465199708938599, -2.260969400405884, -0.017085174098610878, -0.8793758749961853]","[-0.013882352970540524, 1.8909395933151245, 1.5460219383239746, -2.3392117023468018, -0.016847319900989532, -0.9574328660964966]",Failed,100,"[0.5100242495536804, 1.1767334938049316, 0.12814688682556152, -2.509768486022949, -0.844534695148468, 1.7695246934890747]",1.0961564779281616,"[-0.5254426496103406, 0.6736365556716919, 1.3183730840682983]","[0.24879908561706543, 0.8274495210498571, -2.64890056848526]",1.5709817872790608,2.591038375774859
2026-03-12T13:04:17,data/apt1/living/data/frame-000354.color.jpg,"[-1.288450002670288, 1.7019699811935425, 1.3774700164794922, -2.3319504261016846, -0.0810169130563736, 0.5742442607879639]","[-1.3316229581832886, 1.857428789138794, 1.4542467594146729, -2.4992098808288574, -0.08689887076616287, 0.5820509195327759]",Failed,100,"[-1.5191985368728638, 0.7402448654174805, -0.9746688604354858, 1.0752185583114624, -0.09914129972457886, -2.683279514312744]",0.4893874228000641,"[0.23074853420257568, 0.961725115776062, 2.352138876914978]","[-3.407168984413147, 0.01812438666820526, 3.257523775100708]",2.5516107423833225,2.9479189504388494
2026-03-12T13:05:01,data/apt1/living/data/frame-000657.color.jpg,"[0.3197360038757324, 2.053770065307617, 1.4158999919891357, -2.3641769886016846, 0.0016624548006802797, -1.2060872316360474]","[0.3096136450767517, 2.0651566982269287, 1.5130785703659058, -2.462178945541382, 0.0016794126713648438, -1.1219429969787598]",Failed,75,"[0.5990025401115417, 0.8814535140991211, -3.0131120681762695, -1.0944187641143799, -0.20789776742458344, -0.8336082100868225]",1.4546678066253662,"[-0.2792665362358093, 1.172316551208496, 4.429012060165405]","[-1.2697582244873047, 0.20956022222526371, -0.37247902154922485]",4.590039621135,1.3663353839815688
2026-03-12T13:05:50,data/apt1/living/data/frame-000304.color.jpg,"[-0.672698974609375, 1.6984100341796875, 1.3725600242614746, -2.331634283065796, -0.04596320539712906, -0.5562333464622498]","[-0.6169866323471069, 1.8173160552978516, 1.3129111528396606, -2.2512261867523193, -0.04225590452551842, -0.5593668818473816]",Failed,85,"[0.5344775915145874, 0.6529371738433838, -0.5975568294525146, -2.1766319274902344, -0.5623070597648621, 0.7819979786872864]",2.0106847286224365,"[-1.2071765661239624, 1.0454728603363037, 1.9701168537139893]","[-0.15500235557556152, 0.516343854367733, -1.3382313251495361]",2.536069632479858,1.4703401328271324
2026-03-12T13:06:15,data/apt1/living/data/frame-000666.color.jpg,"[0.28090500831604004, 2.112639904022217, 1.4534800052642822, -2.285822629928589, -0.0003348995523992926, -1.1007237434387207]","[0.27360570430755615, 2.28578782081604, 1.4205743074417114, -2.141164541244507, -0.00031764490995556116, -1.089241862297058]",Failed,41,"[-0.5292372107505798, 2.7899131774902344, 2.5404250621795654, -1.417209267616272, -0.6482828259468079, -1.7348895072937012]",1.4522556066513062,"[0.8101422190666199, -0.6772732734680176, -1.0869450569152832]","[-0.8686133623123169, 0.6479479263944086, 0.6341657638549805]",1.5154138242806285,1.0753336783551561
2026-03-12T13:06:58,data/apt1/living/data/frame-000690.color.jpg,"[0.015930000692605972, 1.866919994354248, 1.4492100477218628, -2.260094165802002, -0.022443486377596855, -0.850927472114563]","[0.016393421217799187, 1.769392728805542, 1.57172691822052, -2.1402387619018555, -0.02456018701195717, -0.7809381484985352]",Failed,72,"[0.6959609985351562, 3.7322616577148438, 2.266751289367676, 1.7533751726150513, -0.5290933847427368, -0.39213624596595764]",1.2758488655090332,"[-0.6800309978425503, -1.8653416633605957, -0.817541241645813]","[-4.013469338417053, 0.50664989836514, -0.45879122614860535]",2.147164493206654,2.1986439964710915
2026-03-12T13:07:55,data/apt1/living/data/frame-000303.color.jpg,"[-0.6745370030403137, 1.6962300539016724, 1.369789958000183, -2.334275245666504, -0.04654616490006447, -0.5603304505348206]","[-0.6896300911903381, 1.7923029661178589, 1.37099289894104, -2.3148179054260254, -0.048980895429849625, -0.5302228331565857]",Failed,100,"[-0.8740838170051575, 0.8162749409675598, 1.1928189992904663, -2.681870222091675, -0.2656027376651764, -0.23580491542816162]",1.441473126411438,"[0.19954681396484375, 0.8799551129341125, 0.1769709587097168]","[0.3475949764251709, 0.21905657276511192, -0.32452553510665894]",0.919488255481843,0.48687325802762127
2026-03-12T13:08:51,data/apt1/living/data/frame-000288.color.jpg,"[-0.6790710091590881, 1.6433299779891968, 1.3448699712753296, -2.373577356338501, -0.08107276260852814, -0.8403975963592529]","[-0.6774368286132812, 1.5291041135787964, 1.3797000646591187, -2.3093883991241455, -0.08402810990810394, -0.823264479637146]",Failed,100,"[-0.5330073833465576, 1.0961979627609253, 0.2214314341545105, -1.4166268110275269, 0.16370505094528198, -0.4551227390766144]",0.4917023181915283,"[-0.14606362581253052, 0.5471320152282715, 1.123438537120819]","[-0.9569505453109741, -0.24477781355381012, -0.38527485728263855]",1.258094659221403,1.0376534680353144
